year,purpose,model,type,district,size,value
2016,purpose,saloon,normal,Busan,light,55.2
2016,purpose,saloon,normal,Busan,small,71.8
2016,purpose,saloon,normal,Busan,mid,104.9
2016,purpose,saloon,normal,Busan,large,90.9
2016,purpose,saloon,normal,Daegu,light,57.2
2016,purpose,saloon,normal,Daegu,small,71.7
2016,purpose,saloon,normal,Daegu,mid,102.9
2016,purpose,saloon,normal,Daegu,large,85
2016,purpose,saloon,normal,Incheon,light,52.3
2016,purpose,saloon,normal,Incheon,small,58.4
2016,purpose,saloon,normal,Incheon,mid,74.1
2016,purpose,saloon,normal,Incheon,large,74.2
2016,purpose,saloon,normal,Gwangju,light,55.1
2016,purpose,saloon,normal,Gwangju,small,56.8
2016,purpose,saloon,normal,Gwangju,mid,92.7
2016,purpose,saloon,normal,Gwangju,large,74.6
2016,purpose,saloon,normal,Daejeon,light,58.9
2016,purpose,saloon,normal,Daejeon,small,77.5
2016,purpose,saloon,normal,Daejeon,mid,101.7
2016,purpose,saloon,normal,Daejeon,large,86.4
2016,purpose,saloon,normal,Ulsan,light,45
2016,purpose,saloon,normal,Ulsan,small,0
2016,purpose,saloon,normal,Ulsan,mid,99.5
2016,purpose,saloon,normal,Ulsan,large,106.5
2016,purpose,saloon,multipurpose,Seoul,mid,61.9
2016,purpose,saloon,multipurpose,Seoul,large,65.8
2016,purpose,saloon,multipurpose,Busan,mid,59.8
2016,purpose,saloon,multipurpose,Busan,large,63.6
2016,purpose,saloon,multipurpose,Daegu,mid,71.4
2016,purpose,saloon,multipurpose,Daegu,large,61
2016,purpose,saloon,multipurpose,Incheon,mid,71.6
2016,purpose,saloon,multipurpose,Incheon,large,75.1
2016,purpose,saloon,multipurpose,Gwangju,mid,75.1
2016,purpose,saloon,multipurpose,Gwangju,large,71.9
2016,purpose,saloon,multipurpose,Daejeon,mid,67.9
2016,purpose,saloon,multipurpose,Daejeon,large,68.2
2016,purpose,saloon,multipurpose,Ulsan,mid,51.2
2016,purpose,saloon,multipurpose,Ulsan,large,76.4
2016,purpose,van,normal,Seoul,small,52.2
2016,purpose,van,normal,Seoul,mid,102.2
2016,purpose,van,normal,Seoul,large,213.7
2016,purpose,van,normal,Busan,small,45.6
2016,purpose,van,normal,Busan,mid,108.4
2016,purpose,van,normal,Busan,large,212.4
2016,purpose,van,normal,Daegu,small,0
2016,purpose,van,normal,Daegu,mid,93.4
2016,purpose,van,normal,Daegu,large,218.5
2016,purpose,van,normal,Incheon,small,41.8
2016,purpose,van,normal,Incheon,mid,82.2
2016,purpose,van,normal,Incheon,large,234.3
